video_id,duration
RXFilHLLqPM,4.56
Dx5qFachd3A,NaN
VIWVfkF2IeI,NaN
kGKkUN50R0c,NaN
6BSfBEAAWEc,4.17
o71ggIZ1CAk,3.18
DSGyEsJ17cI,3.24
-s6CIGT2RX8,NaN
xwe8F_AhLY0,3.24
mB_cBLlv4iA,4.55
dWwMIXoIc6U,2.58
UX1cdPqW5M8,NaN
_Y3Dc__zFg4,2.37
LFnV-vb1Bxc,3.22
xNV38nq1fqc,76.36
OlP_FYgSEtM,NaN
NOjrt1mrD8Q,3.12
31VHVWOseoY122.29,122.29
60UGcXAW0qM,NaN
sbEXdlmjJV4,3.32
ZAouh6jstiE,NaN
yPLLhlX0YXM,NaN
QqBzotBqV4g,3.03
L9Q1HUdUMp0,NaN
I6nFMGgNP7Q,5.12
bXcSLI58-h8,2.25
5qky3L2Q6G4,NaN
jnGUs3jCb_I,NaN
g0mbEe-YjMs,NaN
jp-CVYGEsjg,3.15
UAlIq7BKNxg,4.14
fwyIuJFdKiQ,4.07
v4-KVCT97wU,4.01
u6kdx-Q61l0,NaN
kdtkyYid7YA,NaN
x36P30CRxvY,NaN
cGo9w6vwBhA,NaN
c_4DUcfE1sU,3.13
uAKng83wZJE,2.35
Dkk9gvTmCXY,3.3
1N3vUlC5354,3.03
Jj9i_C2lI90,4.24
lEMIKBiDHeo,3.32
bebuiaSKtU4,NaN
1DmwyNkmTJ0,2.39
3DTOwbYHc-0,3.43
cJc7xWJbwJw,3.31
RP0_8J7uxhs,5.07
iuzyA5gDa4E,5.47
8u-_64S7plI,2.43
mC5i9ETswoc,3.29
ChXP97VTOjQ,72.5
okG6yNKaS1g,3.12
mDTH8UuGxEY,NaN
DGafRnGOZhY,2.28
BOgiLwQ7Es0,7.11
pvuN_WvF1to,7.11
zlJDTxahav0,3.26
H236E7OwWH4,3.56
nUEqPtVGIpE,3.07
Nu__TzWfpss,2.5
TmZhesvByUg,3.26
WgCBLadM-QY,4.25
81qfVupNxp8,119.53
wBmWvvTV0P4,3.2
P7X5u3itLb0,NaN
CMla2ZIz7-4,4.45
xZOmsK74-c0,3.38
3-SshZqxujo,26.11
c_4DUcfE1sU,3.13
-CwoylxqVPA,3.44
kBu9fbtbsUc,NaN
jFGkeMPq8Lo,4.38
fBVJoIbNjdQ,NaN
9mWdw-09dso,2.42
G_zDUTFJfcY,3.5
TLpLKt8lJ3A,3.16
WawwqrfvnWE,NaN
FWCCwU35fb8,NaN
Hq2iOuhECos,NaN
BgP1x0QqkUM,NaN
oVWEb-At8yc,6.09
z59hc7RcbDA,4.51
S-gxNYXogKU,361.27
mtXASss7EY0,NaN
oqxvaDbAHkI,4.5
CwkzK-F0Y00,2.03
Y2E71oe0aSM,2.55
k9Sd6HXjJK4,NaN
LfnzCsEzNSk,5.5
w2Ov5jzm3j8,5.09
NEmIPDs9CZw,NaN
yev1OGDOKNo,NaN
f6GI-qpgUok,NaN
LH4Y1ZUUx2g,3.24
acQS2Fef8tU,196.56
hj83cwfOF3Y,190.29
393C3pr2ioY,2.37
6Poonh_ZY4I,NaN
oygrmJFKYZY,3.01
HUHC9tYz8ik,3.32
_ftNS7EFysY,3.13
9rOKdATrV4g,4.06
2OEL4P1Rz04,181.07
4zJ4i6Az2Ck,2.44
28hYUZMufDg,3.03
Ioz93bSi2uc,3.27
oh_DWDOZkAM,NaN
eUUuI--jAlM,3.19
E71Lve6zEHg,2.43
6GVgncA9oiw,182.45
FflfOb4BWCU,3.08
lZOgjUfGTWA,57
DykVJl6wr_4,3.59
T1xzr_iEy_I,3.59
Ze1T1exJ6vQ,130.35
vuq-VAiW9kw,3.44
PC0nSbgwAqw,3.14
sv29DzgiXZA,5.14
FuXNumBwDOM,4.09
gYDKcbAMElU,2
7nipHhaNkf0,NaN
GQNc511JPUo,4.09
nqK2cD1SbOg,2.59
JrtPRQO9pu4,3.21
CJOZc02VwJM,3.44
wJ0x_JqyJ-Q,NaN
kx7P_ENnDPE,3.11
Nym5stAJAt8,3.28
6BYIKEH0RCQ,3.11
wSmJByYYnLQ,9.4
UNB8F0ObA4g,3.22
ce1lTmRtIkM,2.59
29a6o5vRKVM,3.23
ZEWGyyLiqY4,3.28
zUU1bIWpH5c,3.16
dDAT9izxUw0,2.18
ai8Iziv249w,NaN
-7_ZuR7gFgc,NaN
XAVFWtus75k,3.32
GoZmb8qY5D4,NaN
33rIEFSdU74,NaN
UQRDv3HtmUA,NaN
5aWgoO0capE,2.18
A9Lj1ps6SC4,2.3
1pbfbkKEkNw,3.51
h1sCiXTlR8Q,2.48
2EntxPIULUI,4.24
SxGLPVvNjvY,3.13
sossVy41Gjw,0.3
QpKhGNaiS6c,3.2
BTsW30Ur0sg,2.29
591IG9640h8,100.59
7ku4WbWEQPU,77.45
zQELp93xxfo,3.51
e-qY_UEOWD4,3.17
PuyRsGtNnmw,NaN
Ai6yVrEiW_Q,NaN
Vlt-2BiHbYI,67.34
JJ9IX4zgyLs,3.51
CnAmeh0-E-U,3.19
tfSS1e3kYeo,2.56
yezDEWako8U,7.44
gYR0xP1j4PY,3.48
UAXaxmKe3xg,3.52
LC8_WA7axTA,NaN
ZdKYi5ekshM,3.38
QEDZd066a2k,NaN
UJsllBQkcJg,2.15
u05v4WMnZA4,2
