"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"fcD94e93cCk",2020-01-28,"UCJFp8uSYCjXOMnkUyb3CQ3Q","20 recipes you should learn in your 20s • tasty","Learn these super easy recipes and thank us later when you're full and happy! Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: ...","https://i.ytimg.com/vi/fcD94e93cCk/default.jpg","120","90","https://i.ytimg.com/vi/fcD94e93cCk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/fcD94e93cCk/hqdefault.jpg","480","360","Tasty","none",1593190,33969,1338,0,1472,1,2020
"jPOxWOE-3Xk",2017-11-02,"UCJFp8uSYCjXOMnkUyb3CQ3Q","25 chicken recipes","Reserve the One Top: http://bit.ly/2v0iast Looking for a specific recipe? Here's the list of them in order: 00:10 Creamy Chicken Bacon Pesto Pasta ...","https://i.ytimg.com/vi/jPOxWOE-3Xk/default.jpg","120","90","https://i.ytimg.com/vi/jPOxWOE-3Xk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jPOxWOE-3Xk/hqdefault.jpg","480","360","Tasty","none",12627764,129967,4253,0,3605,11,2017
"MO00H5z6kKg",2018-04-20,"UCay2P72vJn22IdJ7Mh25ccg","20 of the best chicken recipes","Caught in a cooking rut? Well Twisted is here to help with these delicious and easy to make chicken recipes. In this cooking video, you will guarantee to find a ...","https://i.ytimg.com/vi/MO00H5z6kKg/default.jpg","120","90","https://i.ytimg.com/vi/MO00H5z6kKg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MO00H5z6kKg/hqdefault.jpg","480","360","Twisted","none",905720,11555,390,0,108,4,2018
"w4NzT0tfseI",2019-08-14,"UCuGS1iJpM_4ZYFp62mia2xQ","20 extremely delicious egg recipes","TIMESTAMPS: 1:24 Omelet noodles recipe 2:35 Lush omelet with whipped whites 3:08 Fried eggs and bacon recipe 5:20 Egg paste for sandwiches 6:44 How to ...","https://i.ytimg.com/vi/w4NzT0tfseI/default.jpg","120","90","https://i.ytimg.com/vi/w4NzT0tfseI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/w4NzT0tfseI/hqdefault.jpg","480","360","5-Minute Crafts MEN","none",616369,6579,449,0,128,8,2019
"gLh9nQ4xi9s",2017-03-30,"UCl7ZXbZUCWI2Hz--OrO4bsA","top ten best meal recipes in the legend of zelda breath of the wild nintendo switch","The Legend of Zelda: Breath of the Wild has thousands if not millions of potential recipes, but which are the best recipes in the game? Alex has been doing an ...","https://i.ytimg.com/vi/gLh9nQ4xi9s/default.jpg","120","90","https://i.ytimg.com/vi/gLh9nQ4xi9s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gLh9nQ4xi9s/hqdefault.jpg","480","360","Nintendo Life","none",966949,17773,975,0,1394,3,2017
"Am0TkWaUzQU",2018-04-27,"UCH8NnRkxQg1zX7mHFRPq73g","easy dessert recipes 20 awesome diy homemade recipe ideas for a weekend party so yummy","Celebrate your weekend with the best dessert recipes, learn how to make amazing treats at home with So Yummy: ...","https://i.ytimg.com/vi/Am0TkWaUzQU/default.jpg","120","90","https://i.ytimg.com/vi/Am0TkWaUzQU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Am0TkWaUzQU/hqdefault.jpg","480","360","So Yummy","none",19764114,134717,10319,0,3514,4,2018
"JuiNlnGKQLw",2019-10-23,"UCmXynLHm7CEBhW5Muwuow7Q","all culinary recipes tales of wind laplace m","THE BEST PRODUCTS to IMPROVE your Gaming Experience Gaming phone!! https://amzn.to/2Q128uy Gaming PC https://amzn.to/2Q3ipPT earphone ...","https://i.ytimg.com/vi/JuiNlnGKQLw/default.jpg","120","90","https://i.ytimg.com/vi/JuiNlnGKQLw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JuiNlnGKQLw/hqdefault.jpg","480","360","BAGYO Gaming","none",15275,318,16,0,34,10,2019
"6ExJrfgJ8zU",2012-04-06,"UCph34B0vPIG7nbRsPJI3idw","introduction to traeger grills amp pellet cooking","for more information, please visit: http://www.schaeferstv.com.","https://i.ytimg.com/vi/6ExJrfgJ8zU/default.jpg","120","90","https://i.ytimg.com/vi/6ExJrfgJ8zU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6ExJrfgJ8zU/hqdefault.jpg","480","360","schaeferstv","none",572556,1142,120,0,131,4,2012
"51Cek4KIsog",2019-05-22,"UCJZjv9OFWj4gG-zMbhaLyIw","cooking recipes level 1 full guide culinary laplace m tales of wind","This is all cooking recipes level 1. Full guide about culinary. Cooking Recipe Level 5 https://www.youtube.com/watch?v=M5edOdI4lhY.","https://i.ytimg.com/vi/51Cek4KIsog/default.jpg","120","90","https://i.ytimg.com/vi/51Cek4KIsog/mqdefault.jpg","320","180","https://i.ytimg.com/vi/51Cek4KIsog/hqdefault.jpg","480","360","Hendra Andise","none",19174,237,9,0,27,5,2019
"Ca8LTqlY38o",2017-04-27,"UCIIPl-DSCC0prKxGGnJrdGQ","top 12 rarest recepies you 39 ve never cooked breath of the wild zelda cooking austin john plays","The Legend of Zelda Breath of the Wild has so many different dishes, here's some you've never cooked before! Subscribe to Austin John Plays for more great ...","https://i.ytimg.com/vi/Ca8LTqlY38o/default.jpg","120","90","https://i.ytimg.com/vi/Ca8LTqlY38o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Ca8LTqlY38o/hqdefault.jpg","480","360","Austin John Plays","none",1873864,32360,1846,0,2881,4,2017
